"","Time","PDCSAP_FLUX","GT","QFD_Trend","Sigma_Trend","QFD_State","Sigma_State","Flux"
"trend[1058]",1326.76978813435,0.816516604844537,"1",3.52465707840208,1.85264591537629,"1","1",0
"trend[1059]",1326.77117701869,0.785388675154536,"1",3.14389840427958,1.971378855129,"1","1",0
"trend[1060]",1326.77256590301,-5.71680859047547,"1",2.75410646252369,2.4073478210665,"1","1",0
"trend[1061]",1326.77395478732,-7.76038769203547,"1",2.35645174562865,3.19302408833831,"1","1",0
"trend[1062]",1326.77534367167,11.3666875032745,"1",1.95195989611839,4.15577474829481,"1","1",0
"trend[1063]",1326.77673255598,18.3704716829645,"1",1.54184905115863,4.85527313643758,"1","1",0
"trend[1064]",1326.77812144032,11.7293584017145,"1",1.12717929179176,4.97058876626284,"1","1",0
"trend[1065]",1326.77951032464,6.92613574546453,"1",0.709201318966544,4.53513919282992,"1","1",0
"trend[1066]",1326.78089920895,5.75047656577453,"1",0.289021534932982,3.76367504742129,"1","1",0
"trend[1067]",1326.7822880933,-7.42591503578547,"1",-0.132061547089617,2.89653268268929,"1","1",0
"trend[1068]",1326.78367697764,2.43822070640454,"1",-0.552957952698887,2.17860130654431,"1","1",0
"trend[1069]",1326.78506586196,-4.72974804359546,"1",-0.97241032505058,1.62900125701707,"1","1",0
"trend[1070]",1326.7864547463,9.55675097984454,"1",-1.38925254941776,1.24196085373622,"1","1",0
"trend[1071]",1326.78784363062,-7.70069530922547,"1",-1.80228914472595,0.845764294371713,"1","1",0
"trend[1072]",1326.78923251496,6.49950000327453,"1",-2.21032725152721,0.39869785933989,"1","1",0
"trend[1073]",1326.79062139931,2.35997363608453,"1",-2.61230175769872,-0.211936329475956,"1","1",0
"trend[1074]",1326.79201028362,-1.51527050453547,"1",-3.00702317327472,-1.03853974377654,"1","1",0
"trend[1075]",1326.79339916797,7.30162402671453,"1",-3.39349267399892,-2.08176973862117,"1","1",0
"trend[1076]",1326.79478805231,-8.80152538734546,"1",-3.77044624074037,-3.30823573053708,"1","1",0
"trend[1077]",1326.79617693663,-10.8202021451555,"1",-4.13687193036423,-4.49377144096867,"1","1",0
"trend[1078]",1326.79756582097,-0.353771481095464,"1",-4.49176115268018,-5.52872342715858,"1","1",0
"trend[1079]",1326.79895470531,-13.9403193326555,"1",-4.8338290131324,-6.40423713550043,"1","1",0
"trend[1080]",1326.80034358966,-9.83155468422547,"1",-5.16239179047023,-7.04602859932213,"1","1",0
"trend[1081]",1326.801732474,0.164905276714535,"1",-5.47654228812706,-7.49747418426803,"1","1",0
"trend[1082]",1326.80312135832,-11.9113886685955,"1",-5.77535241777828,-7.85618893437137,"1","1",0
"trend[1083]",1326.80451024266,-11.4084589810955,"1",-6.0580272231614,-8.08466248199525,"1","1",0
"trend[1084]",1326.80589912701,-0.762951168595464,"1",-6.32383867921555,-8.20022426697529,"1","1",0
"trend[1085]",1326.80728801135,-21.6184199185955,"1",-6.57184814548586,-8.21336847102025,"1","1",0
"trend[1086]",1326.8086768957,-11.3862421842255,"1",-6.80131305343804,-8.00945392631762,"1","1",0
"trend[1087]",1326.81006578004,7.65147754234454,"1",-7.01155129742297,-7.7401655741743,"1","1",0
"trend[1088]",1326.81145466438,-18.2058222623455,"1",-7.20211810775139,-7.61012768313908,"1","1",0
"trend[1089]",1326.81284354873,-1.64503124672547,"1",-7.37233566214025,-7.52475338763574,"1","1",0
"trend[1090]",1326.81423243307,-9.24305370765546,"1",-7.52182157139339,-7.55901836882557,"1","1",0
"trend[1091]",1326.81562131742,-8.41675976234546,"1",-7.65015749005254,-7.69288563378934,"1","1",0
"trend[1092]",1326.81701020176,-4.77210644203547,"1",-7.75692376922426,-7.93073993534074,"1","1",0
"trend[1093]",1326.8183990861,-13.7435419889155,"1",-7.84196171280826,-8.26128218431796,"1","1",0
"trend[1094]",1326.81978797045,-3.00855663734546,"1",-7.90495067182606,-8.646699515531,"1","1",0
"trend[1095]",1326.82117685479,-6.32850292641547,"1",-7.94575126724792,-9.08520490710335,"1","1",0
"trend[1096]",1326.82256573914,-19.6538203092255,"1",-7.96413814995218,-9.43675966060249,"1","1",0
"trend[1097]",1326.82395462351,-7.30152538734546,"1",-7.96007980098025,-9.5120497340137,"1","1",0
"trend[1098]",1326.82534350786,-10.7807734342255,"1",-7.93372811671549,-9.28381619364401,"1","1",0
"trend[1099]",1326.8267323922,-0.277477535785465,"1",-7.88504679388257,-8.71658657879904,"1","1",0
"trend[1100]",1326.82812127654,-10.0081904264155,"1",-7.81411773726035,-7.6269838914153,"1","1",0
"trend[1101]",1326.82951016092,-15.3453486295355,"1",-7.72121530756704,-5.66693130892716,"1","1",0
"trend[1102]",1326.83089904526,-9.36915234047547,"1",-7.60667018076225,-2.44812015376321,"1","1",0
"trend[1103]",1326.83228792961,-7.57386425453547,"1",-7.47078839066196,2.3035132711033,"1","1",0
"trend[1104]",1326.83367681395,-6.58863476234546,"1",-7.31398222165675,8.74600704353557,"1","1",0
"trend[1105]",1326.83506569833,2.68585995141274,"2",-7.13663017847403,16.8110605529751,"1","1",1.69710213563821
"trend[1106]",1326.83645458267,7.25212845076959,"2",-6.9392821775883,26.1527405997046,"1","1",10.0538979787451
"trend[1107]",1326.83784346701,26.040921187335,"2",-6.72246111135063,36.0046554313069,"2","1",34.0508205981205
"trend[1108]",1326.83923235139,69.8755538726896,"2",-6.48672357464543,44.9391928304429,"2","2",75.2866984006651
"trend[1109]",1326.84062123573,130.540621805692,"2",-6.23271891717095,51.2725940304696,"2","2",127.628035864917
